编号,隶属关系,被评论者昵称,被评论者ID,昵称,用户ID,评论内容,发布时间,点赞数
0,一级评论,up主,up主,oooooobserver,106508564,我现在经常有一些新概念不懂，就去搜微信读书，看看这些关键字是哪些书中的，根据上下文也能学个大概。微信读书应用向量数据库，一定程度上可以当知识搜索引擎使用了，光想想就觉得激动,2023-07-24 00:24,1612
编号,隶属关系,被评论者昵称,被评论者ID,昵称,用户ID,评论内容,发布时间,点赞数
0,二级评论,oooooobserver,106508564,不吹不黑理中客,72606261,还能这么用啊，学到了,2023-07-24 09:32,16
编号,隶属关系,被评论者昵称,被评论者ID,昵称,用户ID,评论内容,发布时间,点赞数
0,二级评论,oooooobserver,106508564,同济子豪兄,1900783,对，还可以横跨多本书，检索同一个概念，对照学习,2023-07-24 10:22,34
编号,隶属关系,被评论者昵称,被评论者ID,昵称,用户ID,评论内容,发布时间,点赞数
0,二级评论,oooooobserver,106508564,沐子Muzyee,33526930,学到了啊哈哈哈哈谢谢！,2023-07-24 10:44,0
编号,隶属关系,被评论者昵称,被评论者ID,昵称,用户ID,评论内容,发布时间,点赞数
0,二级评论,oooooobserver,106508564,最近天气还不错,11689111,学到了,2023-07-24 12:10,0
编号,隶属关系,被评论者昵称,被评论者ID,昵称,用户ID,评论内容,发布时间,点赞数
0,二级评论,oooooobserver,106508564,万嫖归宗,476997106,卧槽，这招可以,2023-07-24 13:29,1
编号,隶属关系,被评论者昵称,被评论者ID,昵称,用户ID,评论内容,发布时间,点赞数
0,二级评论,oooooobserver,106508564,Avery123,20891995,对对，我也是这么做的,2023-07-24 14:53,0
编号,隶属关系,被评论者昵称,被评论者ID,昵称,用户ID,评论内容,发布时间,点赞数
0,二级评论,oooooobserver,106508564,tracydog110,15054644,大佬，受我一拜！,2023-07-24 16:51,0
编号,隶属关系,被评论者昵称,被评论者ID,昵称,用户ID,评论内容,发布时间,点赞数
0,二级评论,oooooobserver,106508564,低频鸭,3493258256713931,是的，微读这个蛮好的,2023-07-24 17:31,1
编号,隶属关系,被评论者昵称,被评论者ID,昵称,用户ID,评论内容,发布时间,点赞数
0,二级评论,oooooobserver,106508564,拉阿拉1222,229637646,直接在微信读书里面搜名词吗？,2023-07-24 19:01,2
编号,隶属关系,被评论者昵称,被评论者ID,昵称,用户ID,评论内容,发布时间,点赞数
0,二级评论,oooooobserver,106508564,嫉邪霜气直问俗春辞柔,3461572630415732,微信小程序吗？,2023-07-24 20:00,3
